"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86"
"1","0","20.238296","25.779078","42.560453","48.216313","56.867774","61.900823","71.025345","75.174048","89.558848","100.28354","108.48185","113.79422","130.28013","141.14993","155.23328","173.9021","182.37144","200.17821","212.51012","222.97536","245.24466","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.21289","350.13875","377.91067","397.75819","416.96946","432.35414","458.34819","476.09909","485.92353","503.77659","518.54591","544.36118","565.4649","590.59314","604.73831","618.58656","634.941","649.12892","676.0325","694.59959","718.41229","741.60939","758.47784","786.48993","812.34787","831.61205","854.9179","878.54583","895.77971","922.79469","967.55","1206.5746","2667.3249","3993.0229","4073.6275","4186.3778","4599.4516","4729.4732","7761.3693","7966.6078","8129.0242","8354.3832","9170.0851","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0","25.779078","30.942482","42.560453","48.216313","57.008614","61.900823","71.182733","75.174048","89.735571","94.936312","108.67634","113.79422","129.64179","141.14993","155.23328","173.9021","182.62359","200.44238","212.51012","222.97536","245.24466","262.49088","272.56493","281.26137","290.73052","309.15381","324.09828","332.55318","350.13875","378.2736","398.13052","416.96946","432.35414","458.74787","476.09909","485.92353","503.77659","518.54591","544.36118","565.4649","591.04682","604.73831","635.41141","649.60456","676.0325","695.09159","718.41229","741.60939","758.47784","786.48993","812.34787","831.61205","854.9179","878.54583","895.77971","914.3094","2667.3249","3993.0229","4073.6275","4186.3778","4598.1859","5275.8131","7759.725","7959.9454","8130.7072","8354.3832","9166.5108","10527.013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0","20.32235","25.779078","42.682306","48.086795","64.422439","75.012305","89.735571","108.67634","113.79422","130.28013","155.23328","173.9021","183.38108","200.44238","212.51012","223.25415","245.53704","262.49088","272.87316","281.57448","298.74124","309.15381","332.55318","350.13875","378.2736","398.13052","417.35068","432.35414","458.34819","476.50644","486.33506","503.77659","518.12097","545.23249","565.90883","591.04682","618.58656","634.941","647.70308","661.07195","676.51788","692.63331","703.97746","718.41229","732.48837","743.64394","760.02074","787.01346","812.87994","854.9179","882.42272","898.57505","914.3094","3996.562","4073.6275","4185.1703","4425.183","4596.9203","5275.8131","7539.3487","7968.2738","8129.0242","8350.9715","8826.6155","9166.5108","10527.013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","0","20.32235","25.779078","30.942482","42.682306","48.086795","57.008614","64.272715","71.025345","75.012305","89.558848","108.67634","113.79422","130.28013","155.23328","173.9021","182.37144","200.17821","212.51012","222.97536","238.56789","245.24466","262.18857","272.56493","281.26137","298.41872","309.15381","332.21289","350.13875","377.91067","397.75819","416.58841","431.96613","458.34819","476.09909","485.92353","503.35774","517.6962","544.79675","565.4649","590.59314","604.2794","618.12243","634.47077","647.22814","660.59214","676.0325","692.14218","703.48232","717.9121","743.13504","759.50626","785.96657","812.34787","853.82677","881.86835","898.01563","913.74511","1087.7651","1205.9263","2665.3973","3991.8435","4071.2453","4185.1703","4593.1246","5271.7467","7756.437","7961.6107","8123.9765","8347.5606","8470.7948","9159.3641","10517.44","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0","20.32235","25.779078","30.942482","42.682306","48.086795","56.867774","64.272715","71.025345","75.012305","89.735571","108.67634","113.79422","129.42936","140.70678","155.46591","175.13496","182.37144","200.17821","212.51012","222.69673","245.24466","262.18857","272.56493","281.26137","298.41872","308.82572","324.09828","332.21289","350.13875","377.91067","397.75819","416.96946","431.96613","458.34819","476.09909","485.92353","503.35774","517.6962","544.79675","565.4649","590.59314","617.19468","634.941","648.17819","660.59214","676.0325","693.6161","717.9121","742.11776","758.99196","785.44338","811.81597","830.53589","854.9179","879.65264","898.01563","913.74511","1788.0822","2079.2446","2664.4338","3249.3383","3991.8435","4071.2453","4183.9629","4595.6549","6803.0344","6847.7528","7756.437","7961.6107","8125.6589","8349.266","9161.1505","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0","25.779078","30.942482","42.682306","48.086795","57.008614","64.272715","71.182733","75.012305","89.558848","96.947328","108.48185","113.79422","129.42936","155.46591","175.13496","182.37144","200.17821","212.51012","222.97536","238.56789","245.53704","262.49088","272.56493","281.26137","309.15381","324.09828","332.55318","350.13875","378.2736","398.13052","416.96946","432.35414","458.74787","476.09909","503.77659","518.97102","544.36118","565.4649","591.04682","609.7978","635.41141","647.70308","661.07195","676.0325","693.12462","718.41229","742.62632","798.04788","812.87994","854.9179","882.42272","899.13463","914.87386","2667.3249","3993.0229","4073.6275","4185.1703","4595.6549","5274.4574","7758.081","7973.273","8129.0242","8352.6773","9164.7238","10525.098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0","25.779078","42.682306","48.086795","62.342156","71.025345","75.012305","89.735571","108.48185","113.99342","130.06718","155.23328","173.9021","182.37144","200.17821","212.51012","223.25415","245.53704","262.49088","272.56493","281.26137","309.15381","323.76235","332.55318","350.13875","378.2736","398.13052","416.96946","432.35414","458.34819","476.09909","503.77659","527.08132","543.92579","565.4649","591.04682","609.7978","635.41141","649.60456","676.0325","694.10776","717.9121","742.62632","898.57505","914.3094","2667.3249","3889.9067","3927.2474","3991.8435","4073.6275","4185.1703","4598.1859","5274.4574","7245.6847","7378.1537","7758.081","7971.6064","8129.0242","8354.3832","9164.7238","10525.098","15903.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","20.32235","25.779078","30.838744","42.560453","48.216313","57.008614","62.04776","71.025345","75.174048","89.558848","94.936312","108.67634","113.5952","130.49326","141.14993","153.60969","174.88804","182.62359","200.17821","212.51012","222.97536","245.24466","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.55318","350.13875","378.2736","397.75819","416.96946","432.35414","458.34819","476.09909","485.92353","503.77659","518.12097","544.36118","565.4649","591.04682","604.73831","619.05087","634.941","649.60456","676.0325","694.59959","718.41229","742.11776","758.47784","786.48993","812.87994","831.61205","854.9179","878.54583","895.77971","922.79469","967.55","1031.2684","1059.0247","1088.3808","1206.5746","1497.8499","2667.3249","3994.2024","4073.6275","4187.5856","4599.4516","4730.7569","7032.7863","7761.3693","7966.6078","8129.0242","8352.6773","9168.2979","9436.5218","0","0","0","0","0","0","0","0"
"9","0","20.32235","25.779078","42.560453","48.216313","56.727108","62.04776","71.025345","75.012305","89.558848","108.67634","113.79422","129.42936","140.92827","155.23328","173.9021","182.37144","200.17821","212.51012","222.97536","245.24466","262.49088","272.56493","281.26137","298.41872","308.82572","324.09828","332.21289","350.13875","378.2736","397.75819","417.35068","432.35414","458.34819","476.09909","485.92353","503.77659","517.6962","544.79675","565.4649","591.04682","604.73831","619.05087","634.47077","649.12892","676.0325","694.10776","717.9121","742.11776","758.99196","786.48993","812.87994","831.61205","854.37225","878.54583","898.57505","914.3094","967.55","1031.8679","1059.0247","1088.3808","1104.4496","1206.5746","1380.3367","1497.8499","1788.8715","2667.3249","3993.0229","4073.6275","4187.5856","4598.1859","7759.725","7964.9419","8129.0242","8352.6773","9166.5108","0","0","0","0","0","0","0","0","0","0"
"10","0","20.238296","25.779078","30.942482","42.682306","47.957452","56.867774","62.342156","71.025345","75.012305","89.735571","96.763637","108.48185","113.79422","130.06718","155.23328","173.9021","182.37144","200.17821","212.51012","222.97536","245.53704","262.49088","272.56493","281.26137","308.82572","323.76235","332.21289","350.13875","377.91067","397.75819","416.96946","432.35414","457.94868","476.09909","485.92353","503.35774","526.6529","543.92579","565.4649","590.59314","609.7978","635.41141","649.12892","676.51788","693.6161","717.9121","742.62632","759.50626","786.48993","812.87994","854.9179","894.1046","913.18099","1071.8186","1088.3808","1105.6905","1206.5746","1323.38","1497.1276","2666.361","3889.9067","3993.0229","4072.4363","4186.3778","4599.4516","7379.757","7759.725","7966.6078","8129.0242","8352.6773","9166.5108","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","0","25.779078","42.682306","48.086795","64.422439","71.025345","75.012305","89.735571","108.67634","113.79422","130.28013","155.23328","173.9021","182.11947","200.17821","212.51012","223.25415","245.53704","262.49088","272.56493","281.26137","309.15381","332.55318","350.13875","378.2736","398.13052","416.96946","432.35414","458.34819","476.09909","485.92353","503.77659","518.54591","544.79675","565.4649","591.04682","618.12243","634.941","647.22814","660.59214","676.0325","692.63331","717.9121","743.13504","759.50626","785.96657","812.34787","854.37225","897.45639","914.3094","3525.2012","3993.0229","4072.4363","4183.9629","4421.4589","4595.6549","4728.1897","7031.2211","7758.081","7963.2762","8125.6589","8349.266","8821.3556","9162.9371","9432.8959","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","25.779078","30.942482","42.682306","48.086795","57.008614","64.422439","71.025345","75.012305","89.735571","100.28354","108.67634","113.79422","130.06718","155.23328","173.9021","182.37144","200.17821","212.51012","222.97536","238.56789","245.53704","262.49088","272.56493","281.26137","298.41872","309.15381","323.76235","332.21289","350.13875","377.91067","398.13052","416.96946","431.96613","458.34819","476.09909","485.92353","503.35774","518.54591","544.36118","565.4649","590.59314","609.33697","634.941","648.65347","661.07195","676.0325","692.63331","717.9121","743.13504","759.50626","797.52069","812.34787","854.37225","882.42272","898.57505","914.3094","1088.3808","1205.9263","1497.1276","3066.8474","3641.3957","3991.8435","4071.2453","4183.9629","4422.7001","4595.6549","5271.7467","7537.7281","7756.437","7961.6107","8123.9765","8347.5606","8823.1088","9161.1505","10517.44","0","0","0","0","0","0","0","0","0","0"
"13","0","20.238296","25.779078","30.838744","42.560453","48.086795","56.727108","62.194871","71.025345","75.012305","89.735571","108.67634","113.5952","130.49326","140.92827","155.46591","173.65605","182.37144","200.17821","212.51012","222.97536","245.24466","262.49088","272.56493","281.26137","298.41872","308.82572","324.09828","332.21289","350.13875","377.91067","397.75819","416.96946","432.35414","458.34819","476.09909","485.92353","503.77659","518.54591","544.36118","565.4649","590.59314","605.65665","634.941","649.60456","676.0325","694.59959","717.9121","742.11776","759.50626","785.96657","812.34787","831.07388","854.37225","879.09915","895.77971","913.74511","1071.8186","1088.3808","1104.4496","1191.0646","1206.5746","1497.1276","1788.8715","2080.0957","2666.361","3993.0229","4073.6275","4186.3778","4599.4516","7759.725","7963.2762","8129.0242","8352.6773","9166.5108","0","0","0","0","0","0","0","0","0","0","0"
"14","0","20.32235","25.779078","30.838744","42.682306","48.086795","57.149629","62.194871","71.025345","75.012305","90.266785","108.67634","113.79422","130.28013","140.92827","155.46591","175.13496","182.37144","200.17821","212.51012","222.97536","245.53704","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.55318","350.13875","378.2736","398.13052","417.35068","432.35414","458.34819","476.09909","486.33506","503.77659","518.54591","545.23249","565.4649","591.04682","604.73831","618.58656","634.941","648.17819","676.0325","693.6161","718.41229","742.62632","759.50626","785.96657","812.87994","831.07388","854.9179","879.65264","898.57505","914.3094","967.55","1031.8679","1072.4298","1088.3808","1104.4496","1206.5746","1381.0302","1497.8499","1788.8715","3995.3821","4074.8189","4187.5856","4598.1859","7248.8626","7539.3487","7968.2738","8129.0242","8354.3832","9168.2979","0","0","0","0","0","0","0","0","0"
"15","0","25.779078","30.838744","42.682306","48.086795","57.008614","62.342156","71.025345","75.012305","89.735571","108.48185","113.79422","130.28013","155.00081","173.65605","182.37144","200.17821","212.51012","223.25415","245.53704","262.49088","272.56493","281.26137","308.82572","332.21289","350.13875","377.91067","398.13052","416.96946","431.96613","458.34819","476.09909","503.77659","526.6529","543.92579","565.4649","591.04682","609.7978","635.41141","649.60456","676.51788","694.10776","717.9121","742.11776","797.52069","854.37225","882.42272","898.57505","914.3094","1206.5746","2666.361","3641.3957","3872.4646","3991.8435","4072.4363","4185.1703","4596.9203","7758.081","7964.9419","8127.3415","8350.9715","9164.7238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","0","25.779078","30.942482","42.682306","48.086795","57.008614","64.422439","71.025345","75.012305","89.735571","108.48185","113.79422","129.64179","155.23328","173.9021","182.37144","200.17821","212.51012","222.97536","238.56789","245.24466","262.49088","272.25687","281.26137","309.15381","323.76235","332.21289","350.13875","377.91067","398.13052","416.96946","431.96613","458.34819","476.09909","503.35774","518.54591","543.92579","565.4649","590.59314","609.7978","634.941","648.17819","660.59214","675.54728","693.12462","717.41208","742.11776","784.92037","797.52069","881.86835","898.57505","914.3094","2665.3973","3887.5788","3926.0778","3990.6644","4071.2453","4182.7557","4593.1246","7240.9191","7374.9476","7754.7933","7958.2802","8123.9765","8347.5606","9159.3641","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","0","25.779078","42.682306","48.086795","62.489616","75.012305","89.735571","108.67634","113.79422","130.28013","155.23328","173.9021","182.37144","200.44238","212.51012","223.25415","245.53704","262.49088","272.87316","281.57448","298.74124","309.15381","324.09828","332.55318","350.13875","378.2736","396.27058","416.96946","432.35414","458.74787","476.09909","486.33506","503.77659","519.39631","544.36118","565.4649","591.04682","618.58656","635.41141","648.17819","661.07195","676.0325","693.6161","717.9121","742.62632","798.04788","812.87994","854.9179","882.42272","899.13463","914.87386","1088.9967","1206.5746","1497.8499","2667.3249","3642.5221","3891.0709","3927.2474","3993.0229","4073.6275","4186.3778","4598.1859","7381.3605","7628.7484","7759.725","7966.6078","8130.7072","8354.3832","9166.5108","10525.098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","0","20.32235","25.779078","42.682306","48.086795","57.149629","62.342156","75.012305","89.735571","100.28354","108.67634","113.79422","130.06718","155.23328","173.65605","182.37144","200.17821","212.51012","222.97536","245.53704","262.49088","272.87316","281.26137","298.41872","309.15381","324.09828","332.55318","350.13875","377.91067","398.13052","416.96946","432.35414","458.34819","476.09909","503.77659","518.54591","544.36118","565.4649","590.59314","609.7978","635.41141","648.65347","660.59214","676.51788","693.6161","717.9121","742.62632","759.50626","797.52069","812.34787","854.37225","898.57505","914.3094","1088.3808","1206.5746","1497.1276","1788.8715","2666.361","3991.8435","4072.4363","4186.3778","4596.9203","5273.102","7244.096","7758.081","7963.2762","8127.3415","8350.9715","9164.7238","10519.355","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0","25.779078","30.838744","42.682306","48.086795","57.008614","62.04776","75.012305","89.735571","108.48185","113.5952","130.28013","140.70678","155.23328","173.9021","182.37144","200.17821","212.23812","222.97536","238.56789","245.24466","262.18857","272.56493","281.26137","298.09637","308.82572","324.09828","332.21289","349.78958","377.91067","397.75819","416.58841","431.96613","458.34819","475.69191","485.92353","503.77659","518.12097","543.92579","565.02114","590.59314","606.11608","634.941","649.12892","675.54728","694.10776","717.9121","741.60939","758.99196","785.96657","812.34787","830.53589","853.82677","879.65264","898.57505","913.74511","1031.2684","1071.8186","1087.7651","1103.8294","1205.9263","1379.6433","1497.1276","1670.8901","1788.0822","2079.2446","2663.4704","3990.6644","4071.2453","4183.9629","4594.3897","7756.437","7961.6107","8122.2943","8345.8553","9159.3641","0","0","0","0","0","0","0","0","0","0"
"20","0","25.779078","30.942482","42.682306","48.216313","57.008614","62.04776","75.012305","89.558848","100.47055","108.67634","113.79422","130.28013","140.92827","155.23328","173.9021","182.62359","200.44238","212.51012","223.25415","245.53704","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.55318","350.13875","378.2736","398.13052","416.96946","431.96613","458.34819","476.09909","486.33506","503.77659","518.12097","544.79675","565.4649","591.04682","609.33697","635.41141","649.60456","676.0325","694.59959","717.9121","742.11776","759.50626","787.01346","812.87994","831.07388","854.37225","880.20631","899.13463","914.3094","1031.8679","1088.3808","1206.5746","1497.8499","1789.661","2666.361","3993.0229","4072.4363","4186.3778","4599.4516","4729.4732","7032.7863","7761.3693","7966.6078","8129.0242","8352.6773","9166.5108","9436.5218","0","0","0","0","0","0","0","0","0","0","0","0"
"21","0","20.32235","25.779078","30.942482","42.682306","48.086795","57.008614","62.194871","71.182733","75.012305","89.735571","108.67634","113.79422","130.49326","140.92827","155.69872","175.13496","182.37144","200.17821","212.51012","222.97536","245.53704","262.49088","272.87316","281.26137","298.74124","309.15381","324.09828","332.55318","350.13875","378.2736","398.13052","417.35068","432.35414","459.14773","476.50644","486.33506","504.1956","519.39631","544.36118","565.4649","591.04682","609.33697","623.70354","635.88199","650.08036","676.51788","695.09159","718.41229","742.11776","759.50626","785.96657","798.04788","812.87994","831.07388","854.9179","880.76015","899.13463","914.87386","1032.4676","1073.0411","1088.9967","1105.07","1207.223","1381.0302","1497.8499","1789.661","2080.9471","2667.3249","3994.2024","4074.8189","4187.5856","4596.9203","7247.2736","7763.0137","7968.2738","8130.7072","8354.3832","9168.2979","0","0","0","0","0","0","0"
"22","0","20.32235","25.779078","30.942482","42.682306","48.086795","57.008614","62.04776","71.182733","75.012305","89.735571","108.67634","113.79422","129.42936","140.92827","155.46591","173.65605","182.37144","200.17821","212.51012","222.97536","245.53704","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.55318","350.13875","378.2736","397.75819","416.96946","432.35414","458.74787","476.09909","486.33506","503.77659","518.54591","544.36118","565.4649","591.04682","609.33697","623.70354","635.88199","650.08036","676.51788","695.09159","718.41229","742.11776","759.50626","785.96657","812.87994","831.07388","854.9179","881.31416","899.13463","914.3094","1031.8679","1072.4298","1088.9967","1105.07","1206.5746","1380.3367","1497.8499","1788.8715","2667.3249","3993.0229","4073.6275","4187.5856","4598.1859","5274.4574","7761.3693","7966.6078","8129.0242","8352.6773","9166.5108","10525.098","0","0","0","0","0","0","0","0"
"23","0","25.779078","30.942482","42.682306","48.086795","56.867774","62.194871","71.025345","75.012305","89.735571","108.48185","113.5952","130.49326","155.23328","173.9021","182.37144","200.17821","212.51012","222.97536","238.56789","245.24466","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.21289","349.78958","377.91067","397.38602","416.58841","431.96613","458.34819","475.69191","485.92353","503.77659","518.54591","543.49057","565.02114","590.59314","608.87632","635.41141","649.60456","675.54728","694.10776","717.9121","741.60939","758.99196","785.44338","797.52069","812.34787","830.53589","854.37225","881.31416","898.57505","914.3094","1031.2684","1071.8186","1088.3808","1205.9263","1497.1276","1788.0822","2665.3973","3525.2012","3991.8435","4071.2453","4183.9629","4596.9203","4733.3248","5953.8234","7029.6561","7756.437","7961.6107","8123.9765","8347.5606","9162.9371","0","0","0","0","0","0","0","0","0"
"24","0","20.32235","25.779078","32.839553","42.804334","48.086795","57.008614","62.194871","71.182733","75.012305","89.735571","95.11826","108.67634","113.79422","129.42936","153.60969","175.13496","182.62359","200.17821","212.7823","222.97536","238.85627","262.49088","272.56493","281.57448","309.15381","324.09828","332.55318","350.48809","378.2736","397.75819","416.96946","432.35414","459.14773","476.09909","486.33506","503.77659","518.54591","544.36118","565.4649","591.04682","609.33697","635.88199","650.08036","676.51788","694.59959","718.41229","742.62632","760.02074","785.96657","798.04788","812.87994","830.53589","854.9179","882.42272","899.13463","914.87386","1031.8679","1072.4298","1088.9967","1206.5746","1497.8499","2667.3249","3994.2024","4074.8189","4187.5856","4600.7176","7247.2736","7761.3693","7966.6078","8129.0242","8354.3832","9168.2979","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","0","20.32235","25.779078","30.942482","42.682306","48.086795","57.008614","62.194871","71.182733","75.012305","89.735571","108.48185","113.79422","129.42936","153.60969","175.13496","182.37144","200.17821","212.51012","222.69673","238.56789","245.24466","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.55318","350.13875","377.91067","397.75819","416.96946","432.35414","458.74787","476.09909","485.92353","503.77659","518.54591","544.36118","565.02114","590.59314","608.87632","636.35274","649.60456","676.51788","694.59959","718.41229","742.11776","759.50626","785.44338","797.52069","812.34787","830.53589","854.9179","881.86835","898.57505","914.3094","1031.2684","1072.4298","1088.3808","1104.4496","1206.5746","1380.3367","1497.1276","1788.0822","2665.3973","3991.8435","4072.4363","4186.3778","4598.1859","7758.081","7964.9419","8125.6589","8350.9715","9164.7238","0","0","0","0","0","0","0","0","0","0"
"26","0","25.779078","30.942482","42.682306","48.216313","56.727108","62.04776","71.025345","75.012305","89.735571","95.11826","108.48185","113.79422","129.42936","140.92827","155.46591","174.88804","182.37144","200.17821","212.51012","222.97536","245.53704","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.55318","350.13875","377.91067","397.75819","416.96946","432.35414","458.74787","476.09909","485.92353","503.77659","518.54591","544.36118","565.4649","590.59314","606.11608","635.88199","650.08036","675.54728","695.09159","718.41229","741.60939","758.47784","785.96657","812.34787","831.61205","854.9179","879.09915","899.13463","914.3094","1031.8679","1088.9967","1206.5746","1497.8499","2307.3131","2667.3249","3251.4665","3526.3095","3993.0229","4073.6275","4186.3778","4599.4516","4730.7569","7032.7863","7759.725","7964.9419","8129.0242","8354.3832","9168.2979","9436.5218","0","0","0","0","0","0","0","0","0"
"27","0","20.32235","25.779078","30.942482","42.682306","48.216313","57.008614","62.04776","71.182733","75.012305","89.735571","94.936312","108.48185","113.79422","130.49326","140.92827","153.60969","175.13496","182.62359","200.44238","212.51012","222.97536","245.24466","262.49088","272.56493","281.26137","298.74124","309.15381","324.09828","332.55318","350.13875","378.2736","398.13052","417.35068","432.35414","458.74787","476.50644","486.33506","504.1956","518.97102","543.92579","565.4649","591.04682","609.7978","636.35274","650.08036","676.51788","695.09159","718.41229","742.11776","758.99196","786.48993","812.87994","831.61205","854.9179","879.65264","899.13463","914.87386","1031.8679","1073.0411","1088.9967","1105.07","1207.223","1497.8499","2667.3249","3994.2024","4074.8189","4188.7935","4598.1859","7248.8626","7763.0137","7968.2738","8130.7072","8356.0893","9168.2979","0","0","0","0","0","0","0","0","0","0","0"
"28","0","20.32235","25.779078","30.942482","42.682306","48.086795","57.008614","62.342156","75.012305","89.735571","108.48185","113.79422","130.28013","155.23328","173.65605","182.37144","200.44238","212.51012","222.97536","238.56789","245.53704","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.55318","350.13875","377.91067","398.13052","416.96946","432.35414","459.94797","476.09909","485.92353","503.77659","518.97102","543.92579","565.4649","590.59314","616.26763","637.29477","650.08036","677.00344","694.59959","718.91265","742.11776","759.50626","798.04788","812.34787","855.46373","881.86835","899.13463","914.87386","1031.2684","1073.0411","1088.9967","1206.5746","1497.8499","2667.3249","3993.0229","4072.4363","4186.3778","4596.9203","4732.0407","7031.2211","7759.725","7964.9419","8127.3415","8352.6773","9164.7238","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","0","20.238296","25.779078","30.838744","42.560453","48.086795","57.008614","62.04776","71.025345","75.012305","89.735571","108.67634","113.5952","130.49326","140.92827","155.46591","173.9021","182.62359","200.17821","212.51012","222.97536","245.24466","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.21289","350.13875","377.91067","397.75819","416.96946","431.96613","441.71873","458.74787","476.09909","486.33506","504.1956","518.97102","543.92579","565.4649","591.04682","606.11608","622.77161","635.41141","650.08036","676.51788","695.09159","717.9121","741.60939","758.47784","785.96657","812.34787","831.07388","854.37225","879.65264","899.13463","914.3094","967.55","986.21772","1015.1484","1031.8679","1059.0247","1073.0411","1088.9967","1105.07","1206.5746","1324.0591","1380.3367","1497.8499","1671.6532","1788.8715","2080.0957","2665.3973","3994.2024","4073.6275","4186.3778","4599.4516","6807.6537","7032.7863","7759.725","7964.9419","8125.6589","8350.9715","9168.2979"
